Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume
8,Alcoholic Drinks,13,1,Total Volume,Anheuser-Busch InBev NV,million litres,2016,31/12/2016,4,35506.37732000
8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,million litres,2016,31/12/2016,4,18482.59580000
8,Alcoholic Drinks,13,1,Total Volume,Carlsberg A/S,million litres,2016,31/12/2016,4,11121.69868000
8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,million litres,2016,31/12/2016,4,6252.38259000
8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,million litres,2016,31/12/2016,4,7834.49490100
8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,million litres,2016,31/12/2016,4,2446.94374100
8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2016,31/12/2016,4,5373.66288200
8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,million litres,2016,31/12/2016,4,4770.91862300
8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,million litres,2016,31/12/2016,4,1926.56678300
8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,million litres,2016,31/12/2016,4,1549.12729900
8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,million litres,2016,31/12/2016,4,1670.20946300
8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2016,31/12/2016,4,1242.82977100
8,Alcoholic Drinks,13,1,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2016,31/12/2016,4,1463.85755400
8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,million litres,2016,31/12/2016,4,2365.22203900
8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,million litres,2016,31/12/2016,4,1622.63028600
8,Alcoholic Drinks,13,1,Total Volume,Oetker-Gruppe,million litres,2016,31/12/2016,4,1239.42852400
8,Alcoholic Drinks,13,1,Total Volume,UB Group,million litres,2016,31/12/2016,4,1155.34743000
8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,million litres,2016,31/12/2016,4,1629.87000800
8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2016,31/12/2016,4,1174.46991800
8,Alcoholic Drinks,13,1,Total Volume,Grupo Mahou-San Miguel SA,million litres,2016,31/12/2016,4,1036.74780700
8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2016,31/12/2016,4,1185.85013500
8,Alcoholic Drinks,13,1,Total Volume,Thai Beverage PCL,million litres,2016,31/12/2016,4,757.94208180
8,Alcoholic Drinks,13,1,Total Volume,Sapporo Holdings Ltd,million litres,2016,31/12/2016,4,771.78166230
8,Alcoholic Drinks,13,1,Total Volume,CÃ­a CervecerÃ­as Unidas SA,million litres,2016,31/12/2016,4,733.16829160
8,Alcoholic Drinks,13,1,Total Volume,Bitburger Braugruppe GmbH,million litres,2016,31/12/2016,4,766.50572020
8,Alcoholic Drinks,13,1,Total Volume,Hite Jinro Co Ltd,million litres,2016,31/12/2016,4,746.54506610
8,Alcoholic Drinks,13,1,Total Volume,Oettinger Brauerei GmbH,million litres,2016,31/12/2016,4,711.05843110
8,Alcoholic Drinks,13,1,Total Volume,Hanoi Alcohol Beer & Beverages Corp (Habeco),million litres,2016,31/12/2016,4,494.95224220
8,Alcoholic Drinks,13,1,Total Volume,Obolon PAT,million litres,2016,31/12/2016,4,1115.77531900
8,Alcoholic Drinks,13,1,Total Volume,Empresas Polar CA,million litres,2016,31/12/2016,4,1554.52785300
8,Alcoholic Drinks,13,1,Total Volume,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,million litres,2016,31/12/2016,4,548.47561150
